score	acc	runs	subjects	per_subject	readlen	strategy	instrument	baseline	timepoints	title	reasons
60	PRJNA493625	68	0	0	300	AMPLICON	Illumina MiSeq	False		Gut microbiome of post-bariatric patients during pregnancy	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA635168	66	0	0	250	AMPLICON	Illumina MiSeq	True		A microbial metabolite remodels the gut-liver axis following bariatric surgery	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA639545	160	0	0	449	AMPLICON	Illumina MiSeq	False		Faecal microbiota of morbidly obese patients undergoing bariatric surgery	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA668472	61	0	0	250	AMPLICON	Illumina MiSeq	False		The Gut Microbiota following Bariatric Surgery	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA727576	358	0	0	301	AMPLICON	Illumina MiSeq	False		Bariatric surgery shifts human gut microbiota to improve glycemic control	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA1130449	92	0	0	301	AMPLICON	Illumina MiSeq	False		Oral administration of Lactobacillus casei DG after ileostomy closure: a randomized controlled trial (Microbiota and Immune microEnvironment in Pouchitis -MEP1)	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA1480144	110	0	0	250	AMPLICON	Illumina NovaSeq 6000	False		intestinal microbiota sequencing of SDT and ileostomy	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJDB17045	52	0	0	249	AMPLICON	Illumina MiSeq	False		Microbiome of shrimp stomach and aquaculture pond	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJDB17087	45	0	0	249	AMPLICON	Illumina MiSeq	False		Microbiome of shrimp stomach during chlorine dioxide treatment	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJEB18037	61	0	0	422	AMPLICON	Illumina MiSeq	False		Bacterial communities in pika stomachs	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA655569	120	0	0	242	AMPLICON	Illumina HiSeq 2500	False		Alterations of gut microbial community after appendectomy	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA1046482	102	0	0	248	AMPLICON	Illumina MiSeq	False		Lactobacillus plantarum 24-7 improves postoperative bloating and hard stools by modulating intestinal microbiota in patients with congenital heart disease: a randomized controlled trial	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA1259181	110	0	0	250	AMPLICON	Illumina MiSeq	False		Characteristics of the Urethral and Intestinal Microbiota in Patients with Urolithiasis and Postoperative Individuals	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA1273334	112	0	0	224	AMPLICON	Illumina NovaSeq 6000	False		Gut Microbiota Profiles in Hirschsprung Disease and Bacterial Markers for Predicting Postoperative Enterocolitis	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA1419539	320	0	0	288	AMPLICON	NextSeq 2000	False		Pathogenesis of Postoperative Infections and Biomarkers for Early Diagnosis of it	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA514452	509	0	0	314	AMPLICON	Illumina MiSeq	False		Microbiota recolonization after ileocecal resection differs in Crohn's disease patients developing postoperative recurrence	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA703442	123	0	0	301	AMPLICON	Illumina MiSeq	False		Intestinal microbiota of CRC patients who developed prolonged postoperative ileus (PPOI)	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA767241	68	0	0	245	AMPLICON	Illumina HiSeq 2500	False		Alterations in the gut microbiota and metabolites contribute to postoperative sleep loss	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
58	PRJNA1225466	97	0	0	247	AMPLICON	Illumina NovaSeq 6000	False	m1,m10,m11,m12,m13,m14,m15,m16	The roles of gut microbiota in postoperative patients of CRC	no repeat sampling detectable from metadata; timepoints present but no clear baseline token
57	PRJNA951705	47	0	0	151	AMPLICON	Illumina MiSeq	False		Microbiome before and after bariatric surgery	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
57	PRJNA1184804	58	0	0	150	AMPLICON	Illumina NovaSeq 6000	True		Intestinal flora can improve the emotional problems of postoperative constipation patients	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
57	PRJNA1363135	193	0	0	152	AMPLICON/OTHER	Illumina HiSeq X/Illumina NovaSeq 6000	False		The Gut Microbiota in Liver Transplantation Recipients During the Perioperative And Postoperative Recovery Period	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
57	PRJNA1427431	89	0	0	152	AMPLICON/RNA-Seq	Illumina HiSeq 2500/Illumina MiSeq	False		Intraoperative intestinal ischemia-reperfusion injury aggravates postoperative delirium by remodeling gut microbiota	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
57	PRJNA269954	703	0	0	175	AMPLICON	Illumina MiSeq	False		Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJNA592441	22	0	0	300	AMPLICON	Illumina MiSeq	False		Microbiome after subtotal gastrectomy with B2 reconstruction	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJNA941111	40	0	0	301	AMPLICON	Illumina MiSeq	False		Clinical effect of sleeve gastrectomy caused by Helicobacter pylori infection in obese patients with Diabetes Mellitus	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJNA1118203	38	0	0	300	AMPLICON	Illumina MiSeq	False		microbiota modulation after bariatric surgery in obese individuals in UAE	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJNA1199984	39	0	0	301	AMPLICON	Illumina MiSeq	False		Genetic and Microbiome Predictors of Long-Term Weight Loss After Bariatric Surgery	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJNA276465	76	19	4.0	76	RNA-Seq	Illumina HiSeq 2000	True	t0,t3	Impact of bariatric surgery on RNA-seq gene expression profiles of peripheral monocytes in humans	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2000); reads ~76bp, too short for truncLen 150
55	PRJNA274360	88	22	4.0	76	RNA-Seq	Illumina HiSeq 2000	True	t0,t3	Impact of bariatric surgery on RNA-seq gene expression profiles of adipose tissue in humans	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2000); reads ~76bp, too short for truncLen 150
55	PRJNA612771	23	0	0	301	AMPLICON	Illumina MiSeq	False		Clinical results and microbiota changes after faecal microbiota transplantation for chronic pouchitis: a pilot study	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJNA1132758	22	0	0	301	AMPLICON	Illumina MiSeq	False		The intestinal microbiota after pancreaticoduodenectomy and their association with postoperative fatty liver	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJDB8606	25	0	0	251	AMPLICON	Illumina MiSeq	False		Metagenomic analysis of appendectomy samples	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJDB9292	20	0	0	301	AMPLICON	Illumina MiSeq	False		Gut metagenome analysis, Parkinsons disease and history of appendectomy	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
55	PRJNA800594	52	0	0	250	AMPLICON	Illumina NovaSeq 6000	False		Fecal microbiota predicts postoperative endoscopic recurrence in patients with Crohn's disease	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
52	PRJNA1261594	24	0	0	150	AMPLICON	Illumina NovaSeq 6000	False		Gut microbiota-associated nutritional-immune status predicts prognosis in postoperative NSCLC patients	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJNA1190627	42	0	0	301	AMPLICON	Illumina MiSeq	False		microbiome between before and after gastrectomy	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJEB28869	113	0	0	253	AMPLICON	Illumina MiSeq	False		Effect of bariatric surgery on microbiome composition and microbial metabolomics.	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJEB40616	166	1	166.0	132	AMPLICON	Illumina MiSeq	False	after	The association between obesity and weight loss after bariatric surgery on the vaginal microbiota	reads ~132bp, too short for truncLen 150; subject/timepoint not encoded in sample titles
50	PRJEB47574	155	0	0	150	AMPLICON	Illumina MiSeq	False		Consistent gut bacterial and short-chain fatty acid signatures in hypoabsorptive bariatric surgeries correlate with metabolic benefits in rats	reads ~150bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJNA1093424	96	0	0	102	AMPLICON/WGS	Illumina MiSeq/NextSeq 550	False		Pediatric Bariatric Surgery	reads ~102bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJNA1364303	220	0	0	285	AMPLICON	Illumina MiSeq	False		Role of gut microbiota on the exercise-induced metabolic effects in women undergoing bariatric surgery: a translational study	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJNA1287226	54	0	0	250	AMPLICON	Illumina NovaSeq 6000	False		Multi-omics Study of Small Intestine Adaptation After Total Colectomy	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJEB33555	648	0	0	251	AMPLICON	Illumina MiSeq	False		Microbiota associated with the skin, gills, and gut of the fish Parachondrostoma toxostoma from five sites in the Durance and Ardeche rivers	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJEB35781	237	0	0	300	AMPLICON	Illumina MiSeq	False		Different roles of environmental selection, dispersal, and drift in the assembly of intestinal microbial communities of freshwater fish with and without a stomach	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJEB39417	56	0	0	294	AMPLICON	Illumina MiSeq	False		TP53 sequence of human glioblastoma stem cells sorted for p53-Ser15 induction and NS1 virus protein expression upon parvovirus MVMp infection	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJEB52304	232	0	0	301	AMPLICON	Illumina MiSeq	False		Luminal and Mucosal Microbiota and Host Gene Expression in Chronic Pouchitis Patients after Fecal Microbiota Transplantation	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJEB31684	288	0	0	381	AMPLICON	Illumina MiSeq	False		Ileal mucosa-associated microbiota to predict postoperative recurrence in Crohn's disease	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
50	PRJNA859507	75	0	0	301	AMPLICON	Illumina MiSeq	False		Dynamic changes of intestinal flora and metabolic function in patients with postoperative pneumonia after lung cancer surgery	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
47	PRJEB58719	64	0	0	150	AMPLICON	Illumina MiSeq	True		A specific tongue microbiota signature is found in patients displaying an improvement of orosensory lipid perception after a sleeve gastrectomy	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
47	PRJEB49286	61	0	0	150	AMPLICON	Illumina MiSeq	False		Effects of a sugar-rich diet combined with Roux-en-Y bariatric surgery on the metabolism, gut microbiota and brain activity in rats	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
47	PRJNA1314443	159	0	0	154	AMPLICON	Illumina NovaSeq 6000	False		Metagenomic profiling of gut microbiome in post-cholecystectomy patients with diarrhea: A nested case-control study	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
45	PRJNA300398	77	6	2.0	44	Bisulfite-Seq/MNase-Seq/ncRNA-Seq	Illumina HiSeq 2000/Illumina HiSeq 2500	True	1week,1year	Obesity and Bariatric Surgery Drive Epigenetic Variation of Spermatozoa in Humans	not Illumina amplicon (Bisulfite-Seq/MNase-Seq/ncRNA-Seq; Illumina HiSeq 2000/Illumina HiSeq 2500); reads ~44bp, too short for truncLen 150
45	PRJDB6623	24	0	0	276	AMPLICON	Illumina MiSeq	False		Forestomach microbiome in proboscis monkeys	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
45	PRJDB9235	23	0	0	301	AMPLICON	Illumina MiSeq	False		Meta-16S rDNA of stomach and colonic microbiome of Japanese macaques	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
45	PRJNA1225497	20	0	0	247	AMPLICON	Illumina NovaSeq 6000	False		The roles of gut microbiota in CRC postoperative metastasis and non-metastasis patients and health people	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
45	PRJNA532948	18	0	0	243	AMPLICON	Illumina MiniSeq	False		Gut microbiota analysis in postoperative Lynch syndrome patients	only 18 runs; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
40	PRJEB90497	208	0	0	125	AMPLICON	Illumina MiSeq	False		MedComm 2026 - colorectal surgery, pre-op + POD5-6, V3-V4	reads ~125bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
40	PRJEB74337	247	0	0	126	AMPLICON	Illumina NovaSeq 6000	False		Oral microbiome change in Obese following bariatric surgery	reads ~126bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
40	PRJNA1474458	56	0	0	0	AMPLICON	Illumina MiSeq	False		Dynamics of human gut microbiota response to resistant potato starch after bariatric surgery	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
40	PRJEB10881	91	0	0	84	AMPLICON/RNA-Seq/WGS/WXS	Illumina HiSeq 2000	False		Integrated Genomic Analysis of Survival Outliers in Glioblastoma	reads ~84bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
40	PRJEB111369	398	0	0	81	AMPLICON/RNA-Seq	Illumina MiSeq/Illumina NovaSeq 6000	False		Microbiota-gut–brain axis modulation by intestinal inflammation shapes glioblastoma outcomes	reads ~81bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
40	PRJEB89732	75	1	1.0	72	AMPLICON	Illumina MiSeq	False	t25	Stoma brushing - 16S rRNA gene-based amplicon profiling	reads ~72bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
35	PRJNA830313	59	0	0	244	RNA-Seq	454 GS	False		Preoperative oral probiotics relieve insulin resistance and gut dysbacteriosis in patients with gastric cancer after gastrectomy Raw sequence reads	not Illumina amplicon (RNA-Seq; 454 GS); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
35	PRJNA1041054	70	0	0	274	AMPLICON	Ion Torrent PGM	False		Bariatric surgery Targeted loci environmental	not Illumina amplicon (AMPLICON; Ion Torrent PGM); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
35	PRJNA1216567	50	0	0	269	AMPLICON	454 GS	False		Bariatric Surgery Gut Microbiome	not Illumina amplicon (AMPLICON; 454 GS); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
35	PRJDB12857	41	0	0	284	WGA	Illumina MiSeq	False		The gut microbiota composition in patients with right- and left-sided colorectal cancer and after curative colectomy, as analyzed by 16S rRNA gene amplicon sequencing	not Illumina amplicon (WGA; Illumina MiSeq); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
35	PRJEB44751	34	0	0	121	AMPLICON	Illumina HiSeq 2500/Illumina NovaSeq 600	False		Comparison of the upper and lower airway microbiota in early postoperative lung transplant recipients.	reads ~121bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
35	PRJNA1518412	24	0	0	0	AMPLICON	Illumina NovaSeq 6000	False		Exploratory Comparison of Early Postoperative Ocular Surface Inflammatory Responses and Microbiota Shifts Between SMILE and FS-LASIK in Moderate-to-High Myopia	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
35	PRJNA903224	150	0	0	248	RNA-Seq	Illumina NovaSeq 6000	False		Postoperative probiotics administration attenuates gastrointes-tinal complications and gut microbiota dysbiosis caused by chemotherapy in colorectal cancer patients	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
35	PRJNA967718	86	0	0	253	RNA-Seq	Illumina Genome Analyzer	False		The association between gut microbiota and postoperative delirium in patients	not Illumina amplicon (RNA-Seq; Illumina Genome Analyzer); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
32	PRJNA597839	76	0	0	150	OTHER	Illumina HiSeq 1500	False		A metagenome-wide association study of gut microbiota, visceral fat and sleeve gastrectomy	not Illumina amplicon (OTHER; Illumina HiSeq 1500); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
32	PRJNA1039781	240	0	0	153	WGS	NextSeq 500	False		Fecal metabolite profiling identifies liver transplant recipients at risk for postoperative infection	not Illumina amplicon (WGS; NextSeq 500); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
30	PRJNA478556	24	0	0	301	WGS	Illumina MiSeq	False		Primate Sleeve Gastrectomy	not Illumina amplicon (WGS; Illumina MiSeq); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
30	PRJDB3211	135	0	0	404	AMPLICON	454 GS FLX Titanium	False		16S amplicon sequence analysis of microbial communities in the oral cavity, stomach and gut	not Illumina amplicon (AMPLICON; 454 GS FLX Titanium); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
28	PRJEB115611	25	3	4.0	75	RNA-Seq	Illumina NovaSeq X Plus	False	t1,t2,t3,t4,t5	RNA-Seq of Glioblastoma Cell Lines Treated with Temozolomide	not Illumina amplicon (RNA-Seq; Illumina NovaSeq X Plus); reads ~75bp, too short for truncLen 150; timepoints present but no clear baseline token
27	PRJNA825696	31	0	0	151	WGA	Illumina NovaSeq 6000	False		Gut microbiota profile in ileostomy samples from CRC Patients	not Illumina amplicon (WGA; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJNA673409	98	0	0	248	RNA-Seq	454 GS	False		Adjuvant Trentment and Molecular Mechanism of Probiotic compounds in patients with gastric cancer after gastrectomy Raw sequence reads	not Illumina amplicon (RNA-Seq; 454 GS); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJEB36461	1308	0	0	38	WGS	AB 5500xl Genetic Analyzer	False		Impact of Laparoscopic Roux-en-Y gastric bypass and sleeve gastrectomy on gut microbiota: a metagenomic comparative analysis	not Illumina amplicon (WGS; AB 5500xl Genetic Analyzer); reads ~38bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJNA473348	120	0	0	143	WGS	Illumina HiSeq 4000	True		Effect of bariatric surgery on the faecal metagenome	not Illumina amplicon (WGS; Illumina HiSeq 4000); reads ~143bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJNA588805	87	0	0	118	WGS	Illumina HiSeq 2000	False		Gut microbiome changes after bariatric surgery	not Illumina amplicon (WGS; Illumina HiSeq 2000); reads ~118bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJNA668357	135	0	0	70	WGS	Illumina HiSeq 4000	False		A metagenomic study of the gut microbiota following bariatric surgery	not Illumina amplicon (WGS; Illumina HiSeq 4000); reads ~70bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJEB23292	867	0	0	36	WGS	AB 5500xl Genetic Analyzer	False		Dysbiosis, including decreased gut microbial richness (MGR) and composition modifications, associates with adverse metabolism in lean, overweight or moderate obesity, but lacks characterization in severe obesity. Bariatric surgery (BS) improves body composition and metabolism in severe obesity which featuresand is associated with gut microbiota modifications. Here, we characterized the importance of dysbiosis and functional alterations in severe obesity and assessed whether BS procedures would rescue this dysbiosis.	not Illumina amplicon (WGS; AB 5500xl Genetic Analyzer); reads ~36bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJEB14082	50	0	0	125	WGS	Illumina MiSeq	True		Gut_microbiota_in_obesity_and_the_impact_of_bariatric_surgery	not Illumina amplicon (WGS; Illumina MiSeq); reads ~125bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJDB6674	220	0	0	250	Targeted-Capture	Illumina HiSeq 2500	False		Cancer gene discovery for medulloblastoma by using SB transposon mutagenesis	not Illumina amplicon (Targeted-Capture; Illumina HiSeq 2500); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJDB8538	82	0	0	273	WGS	Illumina MiSeq	False		Genomic characterization of Helicobacter pylori isolates from stomachs of Mongolian gerbils eight weeks post-infection	not Illumina amplicon (WGS; Illumina MiSeq); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJEB63351	288	0	0	73	WGS	unspecified	False		Neuroblastoma is associated with alterations in gut microbiome composition subsequent to maternal seeding	not Illumina amplicon (WGS; unspecified); reads ~73bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJEB66493	179	0	0	73	WGS	Illumina NovaSeq 6000	False		A Randomised Placebo-Controlled Trial of Faecal Microbiota Transplantation in Patients with Chronic Pouchitis – MicroPouch study	not Illumina amplicon (WGS; Illumina NovaSeq 6000); reads ~73bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJNA1101429	62	0	0	250	RNA-Seq	Illumina HiSeq 2500	False		Effect of probiotics before cesarean section on postoperative recovery in pregnant women	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJNA1267986	101	0	0	300	WGS	Illumina Genome Analyzer	False		Renal pelvis urobiome dysbiosis is associated with postoperative systemic inflammatory response syndrome after percutaneous nephrolithotomy	not Illumina amplicon (WGS; Illumina Genome Analyzer); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJNA848642	68	0	0	250	OTHER	Illumina HiSeq 2500	False		Biomarker Characteristics of Gut Bacteria from a Chinese Cohort of Colorectal Cancer, Colorectal Adenoma and Postoperative Patients	not Illumina amplicon (OTHER; Illumina HiSeq 2500); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
25	PRJEB38998	40	1	40.0	75	RNA-Seq	Illumina MiSeq	False	postoperative	Suppression of Activated Fibroblasts to Prevent Postoperative Fibrosis	not Illumina amplicon (RNA-Seq; Illumina MiSeq); reads ~75bp, too short for truncLen 150; subject/timepoint not encoded in sample titles
23	PRJEB115533	108	0	0	76	WGS	Illumina HiSeq 4000/Illumina NovaSeq 600	False	m2,m3,m4,m5,m6,m7,m8,m9	Whole-genome sequencing of 36 Branchiostoma lanceolatum individuals	not Illumina amplicon (WGS; Illumina HiSeq 4000/Illumina NovaSeq 6000); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; timepoints present but no clear baseline token
23	PRJEB82511	7263	19	1.2	44	OTHER/RNA-Seq/WXS	Illumina HiSeq 4000/NextSeq 2000	False	t23,t25,t36	Asynchronous Transitions from Hepatoblastoma to Carcinoma in High-Risk Pediatric Tumors	not Illumina amplicon (OTHER/RNA-Seq/WXS; Illumina HiSeq 4000/NextSeq 2000); reads ~44bp, too short for truncLen 150; no repeat sampling detectable from metadata; timepoints present but no clear baseline token
23	PRJEB86524	40	0	0	76	RNA-Seq	Illumina NovaSeq 6000	False	t1,t2,t3,t4,t5,t6,t7	RNA-seq of subcutaneous patient-derived neuroblastoma xenografts (LU-NB-1) - Comparison of Prochlorperazine + Pitavastatin (PCZ+PIT) combination alone to one combined with standard-of-care COJEC protocol (PCZ+PIT+COJEC)	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; timepoints present but no clear baseline token
22	PRJNA731481	76	0	0	150	RNA-Seq	Illumina NovaSeq 6000	False		Bariatric surgery reduces obesity associated breast cancer and enhances response to immunotherapy	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
22	PRJNA1135180	52	0	0	150	RNA-Seq	DNBSEQ-G400	False		Different effects of bariatric surgery on epigenetic plasticity in skeletal muscle of individuals with and without type 2 diabetes	not Illumina amplicon (RNA-Seq; DNBSEQ-G400); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
22	PRJDB12119	248	0	0	151	FL-cDNA/OTHER/WGS	HiSeq X Ten/Illumina HiSeq 4000/Sequel	False		De novo genome assembly of Eustoma grandiflorum, 10B-620	not Illumina amplicon (FL-cDNA/OTHER/WGS; HiSeq X Ten/Illumina HiSeq 4000/Sequel); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
22	PRJDB38804	106	0	0	150	WGS	BGISEQ-500	False		Germline de novo mutation rate of amphioxus species, Branchiostoma floridae (PRJCA042497)	not Illumina amplicon (WGS; BGISEQ-500); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
22	PRJEB25262	49	0	0	151	WXS	Illumina MiSeq	False		Targeted sequencing of 49 primary medulloblastoma samples using Illumina TruSight Tumor 15 assay	not Illumina amplicon (WXS; Illumina MiSeq); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
22	PRJNA762898	92	46	1.0	151	RNA-Seq	Illumina NovaSeq 6000	True	t0	Integrated methylomic and transcriptomic characterisation of postoperative systemic inflammatory dysregulation	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
